report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
675,An observation from the safety patrol noted that a panel operator observed the drum leaking while it was being moved during the shift. This was linked to a lapse in permit control.,HIGH,Process Operation,Chemical exposure,Permit control failed,Toxic Gas
676,The shift handover mentioned that a welder noted that the fire watch had not been briefed before during the grinding operation. The observation was attributed to the combustible material control was degraded.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
677,a technician verified the permit conditions covered the hot work during the grinding operation.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
678,a worker started hot work while combustible material remained nearby during hot work.,HIGH,Hot Work,Fire or explosion,Permit control failed,Hot Work
679,a technician noted that the retrieval line was not rigged during the tank entry. This was linked to no emergency rescue plan was in place.,MEDIUM,Confined Space Entry,Delayed rescue,Emergency/rescue plan absent,Confined Space
680,An inspection noted that a mechanic confirmed the guard was in place before start-up while working on the drive.,LOW,Mechanical Maintenance,Entanglement,No barrier failure / control effective,Line of Fire
681,A near miss occurred when a cleaner noticed a tripping hazard from trailing cables in the common work area. This was linked to inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,
682,a lifting supervisor used rigging on the load that showed signs of wear before the lift during the lifting operation. The observation was attributed to the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
683,An observation from the safety patrol noted that a safety officer verified the permit conditions covered the hot work while inspecting the extinguishers.,LOW,Fire Safety,Fire or explosion,No barrier failure / control effective,Hot Work
684,a supervisor observed a worker without eye protection near the eye protection while preparing for the task.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,No clear Life-Saving Rule detected
685,a scaffolder worked on the elevated platform without any fall protection during the scaffolding work. This was linked to a failure of safe access controls.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
686,a worker confirmed the fire watch and extinguishers were in place before during hot work.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
687,A permit review found that a ventilation technician flagged that the machine noise exceeded limits while testing the airflow. The observation was attributed to a PPE compliance issue.,MEDIUM,Ventilation,Noise exposure,PPE compliance issue,
688,a safety officer entered the space despite the gas monitor alarm remaining active while testing the airflow. The event traced back to a lapse in permit control.,HIGH,Ventilation,Hazardous atmosphere,Permit control failed,Confined Space
689,a material handler confirmed all tools were tethered before while stacking the pallets.,LOW,Material Handling,Falling object,No barrier failure / control effective,
690,The shift handover mentioned that a safety officer accessed the scaffold while the edge protection was missing during the audit. Follow-up identified edge protection was missing.,HIGH,Inspection,Fall from height,Edge protection absent,Working at Height
691,A permit review found that a welder observed residual flammable vapors near the work zone during hot work.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
692,An inspection noted that a worker verified that waste was segregated properly during storage activity.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
693,a material handler worked below the platform while material was being handled above during material handling. This was linked to inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
694,A near miss occurred when an operator used the platform although the fall protection showed signs of damage while working at height. The event traced back to the fall protection control was degraded.,MEDIUM,Work at Height,Fall from height,Fall protection control degraded,Working at Height
695,a craftsman checked that the guards were fit before operating during the repair.,LOW,Hand Tools,Equipment failure,No barrier failure / control effective,
696,A permit review found that a technician began work in the confined space without atmospheric verification while entering the vessel. The finding cited inadequate ventilation.,HIGH,Confined Space Entry,Hazardous atmosphere,Ventilation inadequate,Confined Space
697,An inspection noted that a machine operator found the guard on the press was damaged during machine operation. This was linked to the guarding was degraded.,MEDIUM,Machine Operation,Entanglement,Guarding degraded,Line of Fire
